id,nombre,tipo,costo
x1,Variable_1,embedding,1
x2,Variable_2,embedding,1
x3,Variable_3,embedding,1
x4,Variable_4,embedding,1
x5,Variable_5,sintoma,1
x6,Variable_6,vital,2
x7,Variable_7,vital,2
x8,Variable_8,signo,5
x9,Variable_9,embedding,1
x10,Variable_10,estudio,100
x11,Variable_11,embedding,1
x12,Variable_12,vital,2
x13,Variable_13,embedding,1
x14,Variable_14,vital,2
x15,Variable_15,sintoma,1
x16,Variable_16,estudio,100
x17,Variable_17,demografico,0
x18,Variable_18,embedding,1
x19,Variable_19,estudio,100
x20,Variable_20,embedding,1
x21,Variable_21,sintoma,1
x22,Variable_22,vital,2
x23,Variable_23,signo,5
x24,Variable_24,vital,2
x25,Variable_25,estudio,100
x26,Variable_26,estudio,100
x27,Variable_27,embedding,1
x28,Variable_28,vital,2
x29,Variable_29,signo,5
x30,Variable_30,signo,5
x31,Variable_31,vital,2
x32,Variable_32,signo,5
x33,Variable_33,demografico,0
x34,Variable_34,sintoma,1
x35,Variable_35,estudio,100
x36,Variable_36,sintoma,1
x37,Variable_37,vital,2
x38,Variable_38,estudio,100
x39,Variable_39,demografico,0
x40,Variable_40,vital,2
x41,Variable_41,demografico,0
x42,Variable_42,estudio,100
x43,Variable_43,demografico,0
x44,Variable_44,vital,2
x45,Variable_45,estudio,100
x46,Variable_46,sintoma,1
x47,Variable_47,vital,2
x48,Variable_48,sintoma,1
x49,Variable_49,vital,2
x50,Variable_50,signo,5
x51,Variable_51,vital,2
x52,Variable_52,estudio,100
x53,Variable_53,estudio,100
x54,Variable_54,signo,5
x55,Variable_55,estudio,100
x56,Variable_56,estudio,100
x57,Variable_57,embedding,1
x58,Variable_58,vital,2
x59,Variable_59,sintoma,1
x60,Variable_60,signo,5
x61,Variable_61,sintoma,1
x62,Variable_62,vital,2
x63,Variable_63,vital,2
x64,Variable_64,estudio,100
x65,Variable_65,estudio,100
x66,Variable_66,signo,5
x67,Variable_67,vital,2
x68,Variable_68,embedding,1
x69,Variable_69,embedding,1
x70,Variable_70,sintoma,1
x71,Variable_71,estudio,100
x72,Variable_72,signo,5
x73,Variable_73,signo,5
x74,Variable_74,demografico,0
x75,Variable_75,sintoma,1
x76,Variable_76,signo,5
x77,Variable_77,embedding,1
x78,Variable_78,signo,5
x79,Variable_79,signo,5
x80,Variable_80,embedding,1
x81,Variable_81,vital,2
x82,Variable_82,sintoma,1
x83,Variable_83,vital,2
x84,Variable_84,embedding,1
x85,Variable_85,estudio,100
x86,Variable_86,vital,2
x87,Variable_87,signo,5
x88,Variable_88,vital,2
x89,Variable_89,estudio,100
x90,Variable_90,sintoma,1
x91,Variable_91,signo,5
x92,Variable_92,signo,5
x93,Variable_93,estudio,100
x94,Variable_94,sintoma,1
x95,Variable_95,embedding,1
x96,Variable_96,vital,2
x97,Variable_97,sintoma,1
x98,Variable_98,vital,2
x99,Variable_99,sintoma,1
x100,Variable_100,demografico,0
x101,Variable_101,embedding,1
x102,Variable_102,vital,2
x103,Variable_103,sintoma,1
x104,Variable_104,sintoma,1
