id,nombre,sistema_principal,prior_inc,prior_prev,w_priors
p_0,Patologia_0,Neurológico,0.3745,0.1851,0.3
p_1,Patologia_1,Neurológico,0.9507,0.5419,0.3
p_2,Patologia_2,Digestivo,0.732,0.8729,0.3
p_3,Patologia_3,Respiratorio,0.5987,0.7322,0.3
p_4,Patologia_4,Respiratorio,0.156,0.8066,0.3
p_5,Patologia_5,Respiratorio,0.156,0.6588,0.3
p_6,Patologia_6,Neurológico,0.0581,0.6923,0.3
p_7,Patologia_7,Endocrino,0.8662,0.8492,0.3
p_8,Patologia_8,Neurológico,0.6011,0.2497,0.3
p_9,Patologia_9,Endocrino,0.7081,0.4894,0.3
p_10,Patologia_10,Cardiovascular,0.0206,0.2212,0.3
p_11,Patologia_11,Neurológico,0.9699,0.9877,0.3
p_12,Patologia_12,Neurológico,0.8324,0.9441,0.3
p_13,Patologia_13,Neurológico,0.2123,0.0394,0.3
p_14,Patologia_14,Respiratorio,0.1818,0.7056,0.3
p_15,Patologia_15,Respiratorio,0.1834,0.9252,0.3
p_16,Patologia_16,Endocrino,0.3042,0.1806,0.3
p_17,Patologia_17,Endocrino,0.5248,0.5679,0.3
p_18,Patologia_18,Neurológico,0.4319,0.9155,0.3
p_19,Patologia_19,Endocrino,0.2912,0.0339,0.3
p_20,Patologia_20,Respiratorio,0.6119,0.6974,0.3
p_21,Patologia_21,Endocrino,0.1395,0.2973,0.3
p_22,Patologia_22,Cardiovascular,0.2921,0.9244,0.3
p_23,Patologia_23,Respiratorio,0.3664,0.9711,0.3
p_24,Patologia_24,Cardiovascular,0.4561,0.9443,0.3
p_25,Patologia_25,Endocrino,0.7852,0.4742,0.3
p_26,Patologia_26,Digestivo,0.1997,0.862,0.3
p_27,Patologia_27,Neurológico,0.5142,0.8445,0.3
p_28,Patologia_28,Respiratorio,0.5924,0.3191,0.3
p_29,Patologia_29,Cardiovascular,0.0465,0.8289,0.3
p_30,Patologia_30,Digestivo,0.6075,0.037,0.3
p_31,Patologia_31,Digestivo,0.1705,0.5963,0.3
p_32,Patologia_32,Respiratorio,0.0651,0.23,0.3
p_33,Patologia_33,Respiratorio,0.9489,0.1206,0.3
p_34,Patologia_34,Digestivo,0.9656,0.077,0.3
p_35,Patologia_35,Neurológico,0.8084,0.6963,0.3
p_36,Patologia_36,Neurológico,0.3046,0.3399,0.3
p_37,Patologia_37,Cardiovascular,0.0977,0.7248,0.3
p_38,Patologia_38,Neurológico,0.6842,0.0654,0.3
p_39,Patologia_39,Digestivo,0.4402,0.3153,0.3
p_40,Patologia_40,Digestivo,0.122,0.5395,0.3
p_41,Patologia_41,Endocrino,0.4952,0.7907,0.3
p_42,Patologia_42,Digestivo,0.0344,0.3188,0.3
p_43,Patologia_43,Neurológico,0.9093,0.6259,0.3
p_44,Patologia_44,Cardiovascular,0.2588,0.886,0.3
p_45,Patologia_45,Endocrino,0.6625,0.6159,0.3
p_46,Patologia_46,Neurológico,0.3117,0.233,0.3
p_47,Patologia_47,Cardiovascular,0.5201,0.0244,0.3
p_48,Patologia_48,Neurológico,0.5467,0.8701,0.3
p_49,Patologia_49,Endocrino,0.1849,0.0213,0.3
p_50,Patologia_50,Digestivo,0.9696,0.8747,0.3
p_51,Patologia_51,Endocrino,0.7751,0.5289,0.3
p_52,Patologia_52,Digestivo,0.9395,0.9391,0.3
p_53,Patologia_53,Endocrino,0.8948,0.7988,0.3
p_54,Patologia_54,Respiratorio,0.5979,0.9979,0.3
p_55,Patologia_55,Neurológico,0.9219,0.3507,0.3
p_56,Patologia_56,Neurológico,0.0885,0.7672,0.3
p_57,Patologia_57,Respiratorio,0.196,0.4019,0.3
p_58,Patologia_58,Digestivo,0.0452,0.4799,0.3
p_59,Patologia_59,Neurológico,0.3253,0.6275,0.3
p_60,Patologia_60,Respiratorio,0.3887,0.8737,0.3
p_61,Patologia_61,Neurológico,0.2713,0.9841,0.3
p_62,Patologia_62,Cardiovascular,0.8287,0.7683,0.3
p_63,Patologia_63,Digestivo,0.3568,0.4178,0.3
p_64,Patologia_64,Cardiovascular,0.2809,0.4214,0.3
p_65,Patologia_65,Digestivo,0.5427,0.7376,0.3
p_66,Patologia_66,Respiratorio,0.1409,0.2388,0.3
p_67,Patologia_67,Digestivo,0.8022,0.1105,0.3
p_68,Patologia_68,Digestivo,0.0746,0.3546,0.3
p_69,Patologia_69,Respiratorio,0.9869,0.2872,0.3
p_70,Patologia_70,Digestivo,0.7722,0.2963,0.3
p_71,Patologia_71,Neurológico,0.1987,0.2336,0.3
p_72,Patologia_72,Endocrino,0.0055,0.0421,0.3
p_73,Patologia_73,Respiratorio,0.8155,0.0179,0.3
p_74,Patologia_74,Endocrino,0.7069,0.9877,0.3
p_75,Patologia_75,Respiratorio,0.729,0.4278,0.3
p_76,Patologia_76,Respiratorio,0.7713,0.3843,0.3
p_77,Patologia_77,Cardiovascular,0.074,0.6796,0.3
p_78,Patologia_78,Cardiovascular,0.3585,0.2183,0.3
p_79,Patologia_79,Digestivo,0.1159,0.95,0.3
p_80,Patologia_80,Endocrino,0.8631,0.7863,0.3
p_81,Patologia_81,Respiratorio,0.6233,0.0894,0.3
p_82,Patologia_82,Digestivo,0.3309,0.4176,0.3
p_83,Patologia_83,Neurológico,0.0636,0.8791,0.3
p_84,Patologia_84,Respiratorio,0.311,0.9447,0.3
p_85,Patologia_85,Neurológico,0.3252,0.4674,0.3
p_86,Patologia_86,Digestivo,0.7296,0.6134,0.3
p_87,Patologia_87,Cardiovascular,0.6376,0.167,0.3
p_88,Patologia_88,Digestivo,0.8872,0.9912,0.3
p_89,Patologia_89,Neurológico,0.4722,0.2317,0.3
p_90,Patologia_90,Respiratorio,0.1196,0.9427,0.3
p_91,Patologia_91,Endocrino,0.7132,0.6496,0.3
p_92,Patologia_92,Digestivo,0.7608,0.6077,0.3
p_93,Patologia_93,Respiratorio,0.5613,0.5127,0.3
p_94,Patologia_94,Cardiovascular,0.771,0.2307,0.3
p_95,Patologia_95,Cardiovascular,0.4938,0.1765,0.3
p_96,Patologia_96,Cardiovascular,0.5227,0.2205,0.3
p_97,Patologia_97,Respiratorio,0.4275,0.1864,0.3
p_98,Patologia_98,Digestivo,0.0254,0.7796,0.3
p_99,Patologia_99,Respiratorio,0.1079,0.3501,0.3
p_100,Patologia_100,Respiratorio,0.0314,0.0578,0.3
p_101,Patologia_101,Endocrino,0.6364,0.9691,0.3
p_102,Patologia_102,Endocrino,0.3144,0.8838,0.3
p_103,Patologia_103,Digestivo,0.5086,0.9278,0.3
p_104,Patologia_104,Endocrino,0.9076,0.9949,0.3
p_105,Patologia_105,Cardiovascular,0.2493,0.1739,0.3
p_106,Patologia_106,Endocrino,0.4104,0.3962,0.3
p_107,Patologia_107,Cardiovascular,0.7556,0.7582,0.3
p_108,Patologia_108,Digestivo,0.2288,0.696,0.3
p_109,Patologia_109,Respiratorio,0.077,0.1539,0.3
p_110,Patologia_110,Respiratorio,0.2898,0.8158,0.3
p_111,Patologia_111,Endocrino,0.1612,0.2244,0.3
p_112,Patologia_112,Cardiovascular,0.9297,0.2238,0.3
p_113,Patologia_113,Neurológico,0.8081,0.537,0.3
p_114,Patologia_114,Neurológico,0.6334,0.5929,0.3
p_115,Patologia_115,Neurológico,0.8715,0.5801,0.3
p_116,Patologia_116,Respiratorio,0.8037,0.0915,0.3
p_117,Patologia_117,Respiratorio,0.1866,0.8775,0.3
p_118,Patologia_118,Cardiovascular,0.8926,0.2656,0.3
p_119,Patologia_119,Endocrino,0.5393,0.1295,0.3
p_120,Patologia_120,Neurológico,0.8074,0.8887,0.3
p_121,Patologia_121,Cardiovascular,0.8961,0.9557,0.3
p_122,Patologia_122,Cardiovascular,0.318,0.8621,0.3
p_123,Patologia_123,Endocrino,0.1101,0.8095,0.3
p_124,Patologia_124,Cardiovascular,0.2279,0.6552,0.3
p_125,Patologia_125,Endocrino,0.4271,0.5509,0.3
p_126,Patologia_126,Digestivo,0.818,0.087,0.3
p_127,Patologia_127,Endocrino,0.8607,0.4085,0.3
p_128,Patologia_128,Neurológico,0.007,0.3727,0.3
p_129,Patologia_129,Neurológico,0.5107,0.2598,0.3
p_130,Patologia_130,Endocrino,0.4174,0.7234,0.3
p_131,Patologia_131,Digestivo,0.2221,0.4959,0.3
p_132,Patologia_132,Digestivo,0.1199,0.081,0.3
p_133,Patologia_133,Neurológico,0.3376,0.2202,0.3
p_134,Patologia_134,Digestivo,0.9429,0.6833,0.3
p_135,Patologia_135,Cardiovascular,0.3232,0.0761,0.3
p_136,Patologia_136,Respiratorio,0.5188,0.8512,0.3
p_137,Patologia_137,Cardiovascular,0.703,0.4951,0.3
p_138,Patologia_138,Neurológico,0.3636,0.4806,0.3
p_139,Patologia_139,Digestivo,0.9718,0.5924,0.3
p_140,Patologia_140,Endocrino,0.9624,0.8247,0.3
p_141,Patologia_141,Respiratorio,0.2518,0.3478,0.3
p_142,Patologia_142,Endocrino,0.4972,0.678,0.3
p_143,Patologia_143,Neurológico,0.3009,0.5657,0.3
p_144,Patologia_144,Digestivo,0.2848,0.267,0.3
p_145,Patologia_145,Endocrino,0.0369,0.8786,0.3
p_146,Patologia_146,Endocrino,0.6096,0.7974,0.3
p_147,Patologia_147,Respiratorio,0.5027,0.6585,0.3
p_148,Patologia_148,Respiratorio,0.0515,0.8506,0.3
p_149,Patologia_149,Digestivo,0.2786,0.8673,0.3
p_150,Patologia_150,Respiratorio,0.9083,0.7084,0.3
p_151,Patologia_151,Endocrino,0.2396,0.837,0.3
p_152,Patologia_152,Endocrino,0.1449,0.6975,0.3
p_153,Patologia_153,Neurológico,0.4895,0.6801,0.3
p_154,Patologia_154,Endocrino,0.9857,0.6186,0.3
p_155,Patologia_155,Digestivo,0.2421,0.7527,0.3
p_156,Patologia_156,Cardiovascular,0.6721,0.1586,0.3
p_157,Patologia_157,Neurológico,0.7616,0.8809,0.3
p_158,Patologia_158,Neurológico,0.2376,0.8718,0.3
p_159,Patologia_159,Digestivo,0.7282,0.0292,0.3
p_160,Patologia_160,Digestivo,0.3678,0.8258,0.3
p_161,Patologia_161,Respiratorio,0.6323,0.1289,0.3
p_162,Patologia_162,Neurológico,0.6335,0.3351,0.3
p_163,Patologia_163,Respiratorio,0.5358,0.7435,0.3
p_164,Patologia_164,Endocrino,0.0903,0.1608,0.3
p_165,Patologia_165,Neurológico,0.8353,0.818,0.3
p_166,Patologia_166,Neurológico,0.3208,0.8321,0.3
p_167,Patologia_167,Cardiovascular,0.1865,0.5075,0.3
p_168,Patologia_168,Neurológico,0.0408,0.0064,0.3
p_169,Patologia_169,Endocrino,0.5909,0.287,0.3
p_170,Patologia_170,Respiratorio,0.6776,0.6169,0.3
p_171,Patologia_171,Respiratorio,0.0166,0.9812,0.3
p_172,Patologia_172,Cardiovascular,0.5121,0.6318,0.3
p_173,Patologia_173,Endocrino,0.2265,0.2598,0.3
p_174,Patologia_174,Respiratorio,0.6452,0.634,0.3
p_175,Patologia_175,Digestivo,0.1744,0.54,0.3
p_176,Patologia_176,Endocrino,0.6909,0.7798,0.3
p_177,Patologia_177,Endocrino,0.3867,0.107,0.3
p_178,Patologia_178,Cardiovascular,0.9367,0.761,0.3
p_179,Patologia_179,Respiratorio,0.1375,0.5413,0.3
p_180,Patologia_180,Endocrino,0.3411,0.963,0.3
p_181,Patologia_181,Respiratorio,0.1135,0.3419,0.3
p_182,Patologia_182,Digestivo,0.9247,0.6326,0.3
p_183,Patologia_183,Cardiovascular,0.8773,0.932,0.3
p_184,Patologia_184,Digestivo,0.2579,0.1025,0.3
p_185,Patologia_185,Cardiovascular,0.66,0.9372,0.3
p_186,Patologia_186,Endocrino,0.8172,0.6879,0.3
p_187,Patologia_187,Cardiovascular,0.5552,0.0678,0.3
p_188,Patologia_188,Neurológico,0.5297,0.301,0.3
p_189,Patologia_189,Respiratorio,0.2419,0.7082,0.3
p_190,Patologia_190,Respiratorio,0.0931,0.0674,0.3
p_191,Patologia_191,Neurológico,0.8972,0.5822,0.3
p_192,Patologia_192,Digestivo,0.9004,0.3459,0.3
p_193,Patologia_193,Neurológico,0.6331,0.6209,0.3
p_194,Patologia_194,Endocrino,0.339,0.0457,0.3
p_195,Patologia_195,Endocrino,0.3492,0.8715,0.3
p_196,Patologia_196,Respiratorio,0.726,0.9735,0.3
p_197,Patologia_197,Endocrino,0.8971,0.9689,0.3
p_198,Patologia_198,Respiratorio,0.8871,0.7497,0.3
p_199,Patologia_199,Neurológico,0.7799,0.1301,0.3
p_200,Patologia_200,Neurológico,0.642,0.7583,0.3
p_201,Patologia_201,Neurológico,0.0841,0.0246,0.3
p_202,Patologia_202,Respiratorio,0.1616,0.0221,0.3
p_203,Patologia_203,Neurológico,0.8986,0.3236,0.3
p_204,Patologia_204,Neurológico,0.6064,0.4886,0.3
p_205,Patologia_205,Digestivo,0.0092,0.7704,0.3
p_206,Patologia_206,Neurológico,0.1015,0.6833,0.3
p_207,Patologia_207,Endocrino,0.6635,0.4459,0.3
p_208,Patologia_208,Respiratorio,0.0051,0.2736,0.3
p_209,Patologia_209,Digestivo,0.1608,0.9971,0.3
p_210,Patologia_210,Cardiovascular,0.5487,0.4262,0.3
p_211,Patologia_211,Respiratorio,0.6919,0.4514,0.3
p_212,Patologia_212,Endocrino,0.652,0.1636,0.3
p_213,Patologia_213,Respiratorio,0.2243,0.7948,0.3
