from,to,tipo,fuente
a1,a599,diagnostico_diferencial,sintetico
a1,a46,diagnostico_diferencial,sintetico
a1,a628,diagnostico_diferencial,sintetico
a1,a182,diagnostico_diferencial,sintetico
a1,a257,diagnostico_diferencial,sintetico
a2,a830,diagnostico_diferencial,sintetico
a2,a983,diagnostico_diferencial,sintetico
a2,a538,diagnostico_diferencial,sintetico
a2,a835,diagnostico_diferencial,sintetico
a2,a107,diagnostico_diferencial,sintetico
a3,a618,diagnostico_diferencial,sintetico
a3,a420,diagnostico_diferencial,sintetico
a3,a69,diagnostico_diferencial,sintetico
a3,a715,diagnostico_diferencial,sintetico
a3,a395,diagnostico_diferencial,sintetico
a4,a466,diagnostico_diferencial,sintetico
a4,a882,diagnostico_diferencial,sintetico
a4,a300,diagnostico_diferencial,sintetico
a4,a87,diagnostico_diferencial,sintetico
a4,a753,diagnostico_diferencial,sintetico
a5,a984,diagnostico_diferencial,sintetico
a5,a423,diagnostico_diferencial,sintetico
a5,a631,diagnostico_diferencial,sintetico
a5,a709,diagnostico_diferencial,sintetico
a5,a2,diagnostico_diferencial,sintetico
a6,a483,diagnostico_diferencial,sintetico
a6,a284,diagnostico_diferencial,sintetico
a6,a627,diagnostico_diferencial,sintetico
a6,a234,diagnostico_diferencial,sintetico
a6,a207,diagnostico_diferencial,sintetico
a7,a221,diagnostico_diferencial,sintetico
a7,a60,diagnostico_diferencial,sintetico
a7,a3,diagnostico_diferencial,sintetico
a7,a225,diagnostico_diferencial,sintetico
a7,a170,diagnostico_diferencial,sintetico
a8,a510,diagnostico_diferencial,sintetico
a8,a2,diagnostico_diferencial,sintetico
a8,a930,diagnostico_diferencial,sintetico
a8,a179,diagnostico_diferencial,sintetico
a8,a737,diagnostico_diferencial,sintetico
a9,a213,diagnostico_diferencial,sintetico
a9,a984,diagnostico_diferencial,sintetico
a9,a864,diagnostico_diferencial,sintetico
a9,a84,diagnostico_diferencial,sintetico
a9,a604,diagnostico_diferencial,sintetico
a10,a86,diagnostico_diferencial,sintetico
a10,a103,diagnostico_diferencial,sintetico
a10,a989,diagnostico_diferencial,sintetico
a10,a870,diagnostico_diferencial,sintetico
a10,a409,diagnostico_diferencial,sintetico
a11,a386,diagnostico_diferencial,sintetico
a11,a650,diagnostico_diferencial,sintetico
a11,a503,diagnostico_diferencial,sintetico
a11,a961,diagnostico_diferencial,sintetico
a11,a491,diagnostico_diferencial,sintetico
a12,a728,diagnostico_diferencial,sintetico
a12,a751,diagnostico_diferencial,sintetico
a12,a100,diagnostico_diferencial,sintetico
a12,a884,diagnostico_diferencial,sintetico
a12,a714,diagnostico_diferencial,sintetico
a13,a910,diagnostico_diferencial,sintetico
a13,a58,diagnostico_diferencial,sintetico
a13,a476,diagnostico_diferencial,sintetico
a13,a74,diagnostico_diferencial,sintetico
a13,a97,diagnostico_diferencial,sintetico
a14,a756,diagnostico_diferencial,sintetico
a14,a413,diagnostico_diferencial,sintetico
a14,a17,diagnostico_diferencial,sintetico
a14,a482,diagnostico_diferencial,sintetico
a14,a763,diagnostico_diferencial,sintetico
a15,a131,diagnostico_diferencial,sintetico
a15,a191,diagnostico_diferencial,sintetico
a15,a881,diagnostico_diferencial,sintetico
a15,a439,diagnostico_diferencial,sintetico
a15,a921,diagnostico_diferencial,sintetico
a16,a310,diagnostico_diferencial,sintetico
a16,a716,diagnostico_diferencial,sintetico
a16,a239,diagnostico_diferencial,sintetico
