from,to,exp,tol,peso,sensibilidad,especificidad,obligatorio
a1,x2878,0.93,0.46,0.76,0.53,0.48,False
a1,x520,0.87,0.21,0.93,0.96,0.32,True
a1,x1085,0.98,0.13,0.42,0.57,0.59,True
a1,x1644,0.82,0.19,0.49,0.89,0.71,False
a1,x202,0.62,0.2,0.96,0.33,0.82,False
a1,x1417,0.58,0.36,0.83,0.88,0.34,True
a1,x1225,0.54,0.16,0.51,0.47,0.59,False
a1,x2841,0.53,0.17,1.0,0.8,0.78,True
a2,x1103,0.56,0.37,0.28,0.61,0.36,True
a2,x2991,0.81,0.16,0.83,0.86,0.82,False
a2,x560,0.51,0.14,1.0,0.75,0.64,True
a2,x207,0.65,0.13,0.62,0.37,0.7,False
a2,x1314,0.93,0.23,0.99,0.67,0.29,True
a2,x105,0.59,0.22,0.73,0.69,0.94,True
a2,x2775,0.56,0.44,0.81,0.69,0.64,True
a2,x2524,0.74,0.29,0.58,0.92,0.3,False
a2,x2436,0.64,0.43,0.69,0.63,0.73,True
a3,x1936,0.71,0.4,0.55,0.52,0.73,False
a3,x500,0.88,0.45,0.6,0.73,0.54,True
a3,x1203,0.96,0.39,0.54,0.62,0.63,True
a3,x2361,0.51,0.2,0.3,0.39,0.86,True
a3,x218,0.56,0.23,0.71,0.77,0.37,False
a3,x1727,0.76,0.39,0.88,0.87,0.98,True
a3,x645,0.84,0.12,0.5,0.78,0.43,True
a3,x343,0.6,0.39,0.22,0.96,0.53,False
a3,x2035,0.55,0.48,0.45,0.46,0.48,False
a3,x1686,0.87,0.35,0.4,0.87,0.44,False
a3,x2379,0.88,0.19,0.35,0.9,0.45,True
a3,x1746,0.54,0.48,0.62,0.48,0.89,False
a3,x2962,0.56,0.32,0.37,0.92,0.87,False
a3,x1752,0.85,0.43,0.35,0.94,0.61,False
a3,x1847,0.98,0.3,0.97,0.85,0.33,True
a3,x1929,0.61,0.34,0.29,0.95,0.24,True
a3,x1872,0.5,0.18,0.65,0.7,0.24,True
a3,x2238,0.92,0.37,0.59,0.77,0.73,False
a3,x1883,0.78,0.28,0.31,0.96,0.91,False
a4,x1343,0.8,0.22,0.56,0.6,0.25,False
a4,x2938,0.62,0.17,0.74,0.87,0.35,True
a4,x2296,0.86,0.47,0.85,0.92,0.27,True
a4,x2099,0.82,0.11,0.78,0.44,0.89,False
a4,x2290,0.7,0.11,0.76,0.96,0.29,True
a4,x387,0.91,0.11,0.32,0.32,0.92,True
a4,x1331,0.96,0.16,0.47,0.48,0.42,True
a4,x1185,0.67,0.46,0.6,0.54,0.94,False
a4,x22,0.64,0.22,0.51,0.6,0.66,True
a4,x889,0.98,0.43,0.48,0.78,0.99,False
a4,x1807,0.96,0.26,0.4,0.45,0.38,False
a4,x2383,0.87,0.41,0.92,1.0,0.44,False
a4,x175,0.86,0.32,0.8,0.73,0.38,False
a4,x2887,0.53,0.27,0.27,0.5,0.87,True
a4,x1236,0.78,0.43,0.29,0.47,0.31,True
a4,x2557,0.8,0.45,0.24,0.8,0.83,False
a4,x2430,0.86,0.41,0.38,0.42,0.95,False
a4,x902,0.97,0.44,0.81,0.32,0.89,False
a5,x1645,0.61,0.45,0.24,0.48,0.64,True
a5,x1096,0.74,0.21,0.9,0.64,0.97,True
a5,x429,0.67,0.33,0.47,0.93,0.8,True
a5,x63,0.61,0.34,0.69,0.94,0.29,True
a5,x1534,0.87,0.24,0.28,0.43,0.79,True
a5,x2601,0.57,0.16,0.48,0.48,0.28,True
a5,x2143,0.53,0.42,0.6,0.76,0.57,False
a5,x2636,0.79,0.45,0.53,0.9,0.6,True
a5,x1643,0.76,0.42,0.74,0.95,0.54,False
a5,x979,0.94,0.45,0.58,0.48,0.7,False
a5,x1086,0.79,0.31,0.57,0.43,0.36,False
a5,x2324,0.91,0.46,0.27,0.47,0.47,False
a5,x1425,0.61,0.25,0.5,0.44,0.92,True
a5,x888,0.94,0.47,0.27,0.44,0.78,False
a5,x1876,0.59,0.11,0.39,0.7,0.23,True
a5,x2639,0.66,0.39,0.64,0.9,0.82,True
a5,x1616,0.9,0.36,0.83,0.94,0.39,True
a5,x1072,0.56,0.25,0.64,0.77,0.51,True
a6,x1730,0.8,0.49,0.97,0.37,0.47,True
a6,x540,0.78,0.17,0.48,0.56,0.66,True
a6,x2998,0.86,0.2,0.77,0.86,0.99,True
a6,x510,0.9,0.17,0.52,0.85,0.56,False
a6,x406,0.83,0.41,0.21,0.7,0.6,False
a6,x628,0.64,0.12,0.5,0.72,0.53,True
a7,x1763,0.51,0.11,0.85,0.66,0.45,True
a7,x2492,0.93,0.23,0.29,0.48,0.22,False
a7,x2544,0.6,0.42,0.5,0.92,0.99,True
a7,x2678,0.5,0.17,0.53,0.85,0.36,False
a7,x2960,0.51,0.48,0.34,0.79,0.75,False
a7,x2001,0.8,0.23,0.69,0.71,0.41,True
a7,x1010,0.87,0.11,0.8,0.32,0.76,True
a7,x2129,0.81,0.32,0.57,0.63,0.69,False
a7,x352,0.7,0.37,0.81,0.64,0.93,True
a7,x2256,0.68,0.33,0.7,0.3,0.97,True
a7,x2616,0.64,0.22,0.58,0.9,0.25,True
a7,x872,0.52,0.24,0.67,0.35,0.54,True
a7,x2131,0.68,0.16,0.34,0.97,0.39,False
a7,x2755,0.88,0.38,0.93,0.82,0.88,True
a7,x2187,0.66,0.15,0.44,0.6,0.82,False
a7,x661,0.7,0.24,0.39,0.63,0.31,False
a7,x1958,0.62,0.34,0.77,0.9,0.2,False
a7,x1346,0.95,0.41,0.56,0.56,0.48,False
